               station       fuel       ppg          mpg
2013/09/16    7Eleven      Unleaded87   3.459     29.886
2013/09/26    7Eleven      Unleaded87   3.259     28.83
2013/10/02    Murphy       Unleaded87   3.339     29.795
2013/10/08    OnCue        Unleaded87   3.119     30.216
2013/10/13    OnCue        Unleaded87   3.259     28.615
2013/10/22    OnCue        Unleaded87   3.199     31.215
2013/10/28    7Eleven      Unleaded87   3.099     30.986
2013/11/05    OnCue        Unleaded87   2.919     30.017
2013/11/11    CircleK      E10          2.799     28.054
2013/11/17    Shell        Unleaded87   3.089     29.304
2013/11/21    OnCue        E10          2.739     26.818
2013/11/26    7Eleven      Unleaded87   3.049     28.559
2013/12/03    Shell        E10          2.699     26.456
2013/12/10    OnCue        Unleaded87   2.999     28.244
2013/12/16    7Eleven      Unleaded87   2.949     25.982
2013/12/28    OnCue        Unleaded87   3.099     26.691
2014/01/07    OnCue        Unleaded89   3.149	  28.937
2014/01/14    7Eleven	   Unleaded87	3.049	  30.635
2014/01/20    OnCue	   Unleaded87	3.099	  27.399
2014/01/25    7Eleven	   E10		2.989	  27.255
2014/01/30    OnCue	   E10		2.999	  26.939
2014/02/04    7Eleven	   Unleaded87	3.159	  26.213
2014/02/09    Valero	   E10		2.979	  27.917
2014/02/14    OnCue	   Unleaded87	3.299	  30.699
2014/02/20    7Eleven	   Unleaded87	3.099	  28.696
2014/02/25    OnCue	   E10		3.199	  29.571
2014/03/01    Shell	   E10		3.259	  27.780
2014/03/08    OnCue	   Unleaded87	3.479	  29.013
2014/03/14    7Eleven	   E10		3.279	  27.651
2014/03/26    Valero	   Unleaded87	3.389	  29.765
